UVITField,x,y,RA_UVIT (deg),RA_std (deg),DEC_UVIT (deg),DEC_std (deg),F148W_AB,F148W_err,F172M_AB,F172M_err,F169M_AB,F169M_err,N219M_AB,N219M_err,N279N_AB,N279N_err,UVIT_PHATseparation
1,919.39,1418.74,10.72342,0.00006,41.27808,0.00014,23.25,0.19,23.35,0.29,22.44,0.14,99.99,99.99,21.25,0.22,0.172
1,2234.93,935.09,10.70634,0.00013,41.29259,0.00015,23.26,0.19,22.77,0.22,21.37,0.10,23.28,0.35,20.51,0.16,0.557
1,745.05,2340.21,10.70040,0.00009,41.29403,0.00011,99.99,99.99,22.90,0.23,22.54,0.15,21.88,0.18,21.22,0.21,0.473
1,2217.53,1583.89,10.71760,0.00008,41.29573,0.00012,23.01,0.17,22.67,0.21,22.18,0.13,99.99,99.99,21.43,0.23,0.123
1,919.23,3867.61,10.73030,0.00012,41.28674,0.00007,23.95,0.25,22.67,0.21,22.54,0.15,22.22,0.21,21.42,0.23,0.124
1,2435.96,1405.44,10.71301,0.00021,41.29761,0.00017,99.99,99.99,22.58,0.20,23.88,0.24,99.99,99.99,21.59,0.25,0.371
1,2130.13,2629.24,10.71587,0.00016,41.26595,0.00008,99.99,99.99,22.88,0.23,99.99,99.99,23.07,0.31,21.89,0.28,0.414
1,2511.07,275.40,10.69291,0.00007,41.29296,0.00003,22.75,0.16,22.88,0.23,21.50,0.11,22.52,0.25,21.07,0.20,0.546
1,653.60,3727.83,10.73082,0.00022,41.29087,0.00005,23.84,0.24,23.26,0.28,22.46,0.14,22.80,0.28,20.70,0.17,0.444
1,2547.25,1728.91,10.71788,0.00014,41.30073,0.00014,23.12,0.18,23.29,0.28,22.38,0.14,22.83,0.28,21.87,0.28,0.136
1,1142.04,2381.42,10.69835,0.00007,41.29930,0.00011,22.54,0.15,21.86,0.15,21.74,0.11,22.35,0.23,21.15,0.21,0.306
1,1167.10,2301.30,10.73717,0.00009,41.28574,0.00011,99.99,99.99,23.55,0.32,22.68,0.15,99.99,99.99,21.55,0.25,0.538
1,817.43,2204.75,10.73754,0.00015,41.28068,0.00012,23.67,0.22,22.81,0.22,22.21,0.13,23.93,0.47,20.94,0.19,0.293
1,1764.71,2978.28,10.72439,0.00010,41.26301,0.00011,23.98,0.25,22.63,0.21,22.36,0.14,22.35,0.23,21.44,0.23,0.166
1,1740.08,3513.27,10.74178,0.00007,41.27768,0.00015,99.99,99.99,23.33,0.29,22.81,0.16,22.53,0.25,21.86,0.28,0.533
1,1487.66,2304.31,10.71456,0.00018,41.25616,0.00020,22.90,0.17,21.67,0.14,21.47,0.10,99.99,99.99,21.41,0.23,0.506
1,1670.45,2712.45,10.74061,0.00006,41.29436,0.00009,24.45,0.31,22.96,0.24,22.36,0.14,23.16,0.33,20.32,0.14,0.320
1,1486.47,3173.80,10.70970,0.00029,41.30771,0.00008,99.99,99.99,99.99,99.99,22.84,0.16,24.26,0.55,21.12,0.20,0.338
1,1715.55,3294.89,10.74540,0.00007,41.27921,0.00010,22.25,0.13,21.70,0.14,21.03,0.09,21.60,0.17,21.96,0.29,0.184
1,2187.40,3494.10,10.74520,0.00014,41.27207,0.00010,24.79,0.36,24.38,0.46,22.64,0.15,24.36,0.58,21.27,0.22,0.200
1,1631.99,3154.82,10.70833,0.00012,41.30965,0.00011,24.30,0.29,23.11,0.26,22.98,0.17,22.61,0.26,21.79,0.27,0.255
1,1265.02,2818.77,10.72499,0.00017,41.25568,0.00008,23.70,0.23,22.52,0.20,21.11,0.09,23.30,0.35,21.15,0.21,0.228
1,1826.14,1355.71,10.69595,0.00024,41.25590,0.00021,99.99,99.99,22.91,0.23,21.80,0.11,99.99,99.99,21.22,0.21,0.808
1,1414.90,2992.68,10.74730,0.00036,41.29239,0.00025,24.31,0.29,99.99,99.99,99.99,99.99,99.99,99.99,21.96,0.29,0.155
1,1943.48,3027.57,10.74424,0.00007,41.29941,0.00007,22.34,0.14,22.46,0.19,20.94,0.09,22.32,0.23,21.50,0.24,0.247
1,2817.51,2558.83,10.67003,0.00007,41.28794,0.00015,23.42,0.20,99.99,99.99,22.53,0.15,23.83,0.45,21.75,0.27,0.139
1,1038.37,2761.35,10.72553,0.00014,41.25245,0.00004,23.60,0.22,22.48,0.20,22.24,0.13,21.33,0.15,21.84,0.27,0.240
1,3633.39,445.15,10.66836,0.00012,41.27465,0.00011,99.99,99.99,99.99,99.99,99.99,99.99,21.95,0.19,21.10,0.20,0.340
1,1105.38,1819.88,10.70883,0.00006,41.24866,0.00002,22.17,0.13,21.60,0.13,21.16,0.09,23.23,0.34,21.15,0.21,0.137
1,1671.65,3226.71,10.74954,0.00013,41.29690,0.00008,22.94,0.17,23.27,0.28,22.94,0.17,22.67,0.26,21.84,0.27,0.091
1,2119.79,2892.03,10.70053,0.00011,41.31461,0.00004,24.30,0.29,23.22,0.27,22.39,0.14,21.52,0.16,21.00,0.19,0.211
1,1959.35,3573.75,10.71328,0.00026,41.31595,0.00012,23.49,0.21,23.50,0.31,22.98,0.17,99.99,99.99,21.69,0.26,0.405
1,2141.54,2789.19,10.75692,0.00024,41.27621,0.00016,23.34,0.20,24.09,0.40,21.54,0.11,22.80,0.28,21.85,0.28,0.239
1,1607.63,835.33,10.66846,0.00026,41.29763,0.00015,99.99,99.99,23.37,0.29,22.74,0.16,24.57,0.64,21.91,0.28,0.303
1,1153.81,1724.97,10.74862,0.00018,41.26021,0.00018,24.04,0.26,23.20,0.27,23.88,0.24,22.90,0.29,21.57,0.25,0.476
1,950.30,3734.36,10.66309,0.00021,41.28299,0.00010,99.99,99.99,24.26,0.44,99.99,99.99,99.99,99.99,20.93,0.19,0.752
1,795.39,1766.95,10.71001,0.00007,41.24437,0.00004,23.83,0.24,21.87,0.15,21.77,0.11,22.16,0.21,20.97,0.19,0.123
1,821.52,3858.28,10.74581,0.00011,41.25517,0.00006,22.92,0.17,22.76,0.22,22.16,0.13,22.56,0.25,21.87,0.28,0.199
1,3454.61,2463.82,10.68473,0.00075,41.24839,0.00011,99.99,99.99,22.44,0.19,21.23,0.10,99.99,99.99,21.28,0.22,0.588
1,2116.09,2500.49,10.76174,0.00016,41.27789,0.00010,23.08,0.18,23.00,0.24,21.75,0.11,21.82,0.18,22.00,0.29,0.327
1,2228.68,3553.57,10.75174,0.00036,41.30587,0.00014,99.99,99.99,25.44,0.76,25.10,0.41,23.79,0.44,21.85,0.28,0.764
